P_ID,P_URL,V_ID,R_ID,P_COMMIT,ERROR_SIMILARITY,SITUATION,RELEASES,DATE
pct1mlz,https://bugzilla.mozilla.org/attachment.cgi?id=162235&action=diff,vuln1mzl,1,files not c/c++,0%,0,Firefox1 & MozillaSuite1.7.5,null
pct2mlz,https://bugzilla.mozilla.org/attachment.cgi?id=162491&action=diff,vuln1mzl,1,files not c/c++,0%,0,Firefox1 & MozillaSuite1.7.5,null
pct3mlz,https://bugzilla.mozilla.org/attachment.cgi?id=163020&action=diff,vuln2mzl,1,not found similar commit,0%,0,Firefox1 & MozillaSuite1.7.5 & Thunderbird0.9,null
pct4mlz,https://bugzilla.mozilla.org/attachment.cgi?id=158283&action=diff,vuln3mzl,1,f40f923a0a09ab1d0e28a308364a924893c5fd02,0%,1,Firefox1 & MozillaSuite1.7.5,2004-09-09 06:54:52
pct5mlz,https://bugzilla.mozilla.org/attachment.cgi?id=159235&action=diff,vuln3mzl,1,bb70f70378300bea845a3cae27b1f394c2862a46,0%,1,Firefox1 & MozillaSuite1.7.5,2004-09-17 20:33:25
pct6mlz,https://bugzilla.mozilla.org/attachment.cgi?id=174321&action=diff,vuln3mzl,1,not found similar commit,0%,0,Firefox1 & MozillaSuite1.7.5,null
pct7mlz,https://bugzilla.mozilla.org/attachment.cgi?id=161523&action=diff,vuln4mzl,1,0c400c441c67daf7c2c19242b6972397752cf194,0%,1,Firefox1 & MozillaSuite1.7.5,2004-10-08 22:58:16
pct8mlz,https://bugzilla.mozilla.org/attachment.cgi?id=163039&action=diff,vuln5mzl,1,47b65fcbe7b996d38cb6716002ad539b98a7cbb9,50%,1,Firefox1 & MozillaSuite1.7.5,2004-11-04 01:36:18
pct9mlz,https://bugzilla.mozilla.org/attachment.cgi?id=163936&action=diff,vuln6mzl,1,3d3c74240e5c0aae40d90981f54dd2b2cf77ca30,48%,1,Firefox1 & MozillaSuite1.7.5,2004-11-03 17:06:21
pct10mlz,https://bugzilla.mozilla.org/attachment.cgi?id=163896&action=diff,vuln6mzl,1,3d3c74240e5c0aae40d90981f54dd2b2cf77ca30,49%,1,Firefox1 & MozillaSuite1.7.5,2004-11-03 17:06:21
pct11mlz,https://bugzilla.mozilla.org/attachment.cgi?id=164295&action=diff,vuln6mzl,1,3d3c74240e5c0aae40d90981f54dd2b2cf77ca30,43%,1,Firefox1 & MozillaSuite1.7.5,2004-11-03 17:06:21
pct12mlz,https://bugzilla.mozilla.org/attachment.cgi?id=168913&action=diff,vuln6mzl,1,files not c/c++,0%,0,Firefox1 & MozillaSuite1.7.5,null
pct13mlz,https://bugzilla.mozilla.org/attachment.cgi?id=172380&action=diff,vuln6mzl,1,3d3c74240e5c0aae40d90981f54dd2b2cf77ca30,43%,1,Firefox1 & MozillaSuite1.7.5,2004-11-03 17:06:21
pct14mlz,https://bugzilla.mozilla.org/attachment.cgi?id=162732&action=diff,vuln8mzl,1,256abb69821cb76ae3e6c343812aabe518222715,0%,1,Firefox1 & MozillaSuite1.7.5,2004-11-04 01:32:40
pct15mlz,https://bugzilla.mozilla.org/attachment.cgi?id=162141&action=diff,vuln9mzl,1,files not c/c++,0%,0,MozillaSuite1.7.5 & Thunderbird0.9,null
pct16mlz,https://bugzilla.mozilla.org/attachment.cgi?id=162104&action=diff,vuln9mzl,1,not found similar commit,0%,0,MozillaSuite1.7.5 & Thunderbird0.9,null
pct17mlz,https://bugzilla.mozilla.org/attachment.cgi?id=162875&action=diff,vuln10mzl,1,2e13a0b566eb081357503967894dd38f1492d406,0%,1,Firefox1,2004-10-22 07:32:08
