V_ID,CVE,ID_ADVISORIES,V_CLASSIFICATION,V_IMPACT,VULNERABILITY_URL,PRODUCTS
vuln1mzl,null,mfsa2005-01,previewer(bypass/&gain privilege/),Low,https://bugzilla.mozilla.org/show_bug.cgi?id=249332,Core
vuln2mzl,null,mfsa2005-02,previewer(undefined&undefined),Moderate (on a multiuser computer),https://bugzilla.mozilla.org/show_bug.cgi?id=251297,Core
vuln3mzl,null,mfsa2005-03,previewer(spoofing/&undefined),Low,https://bugzilla.mozilla.org/show_bug.cgi?id=257308,Core
vuln4mzl,null,mfsa2005-04,previewer(spoofing/&undefined),Low,https://bugzilla.mozilla.org/show_bug.cgi?id=262689,Core
vuln5mzl,null,mfsa2005-05,previewer(undefined&gain information/),High,https://bugzilla.mozilla.org/show_bug.cgi?id=265456,Firefox
vuln6mzl,null,mfsa2005-05,previewer(undefined&gain information/),High,https://bugzilla.mozilla.org/show_bug.cgi?id=262887,SeaMonkey
vuln7mzl,null,mfsa2005-05,previewer(undefined&gain information/),High,https://bugzilla.mozilla.org/show_bug.cgi?id=12712,MailNews Core
vuln8mzl,null,mfsa2005-05,previewer(undefined&gain information/),High,https://bugzilla.mozilla.org/show_bug.cgi?id=265055,SeaMonkey
vuln9mzl,null,mfsa2005-06,previewer(undefined&undefined),High,https://bugzilla.mozilla.org/show_bug.cgi?id=264388,MailNews Core
vuln10mzl,null,mfsa2005-07,previewer(undefined&undefined),High,https://bugzilla.mozilla.org/show_bug.cgi?id=265176,Core
vuln11mzl,null,mfsa2005-08,previewer(undefined&gain information/),Moderate,https://bugzilla.mozilla.org/show_bug.cgi?id=265728,Core
vuln12mzl,null,mfsa2005-09,previewer(undefined&undefined),High,https://bugzilla.mozilla.org/show_bug.cgi?id=267263,Core
vuln13mzl,null,mfsa2005-10,previewer(undefined&undefined),Moderate to Critical,https://bugzilla.mozilla.org/show_bug.cgi?id=263546,Thunderbird
vuln14mzl,null,mfsa2005-11,previewer(undefined&undefined),High,https://bugzilla.mozilla.org/show_bug.cgi?id=268107,Core
vuln15mzl,null,mfsa2005-12,previewer(undefined&gain information/),High,https://bugzilla.mozilla.org/show_bug.cgi?id=265668,Firefox
vuln16mzl,null,mfsa2005-13,previewer(spoofing/&undefined),Low,https://bugzilla.mozilla.org/show_bug.cgi?id=273699,Core
vuln17mzl,null,mfsa2005-13,previewer(spoofing/&undefined),Low,https://bugzilla.mozilla.org/show_bug.cgi?id=13129,Core
vuln18mzl,null,mfsa2005-14,previewer(spoofing/&undefined),Moderate,https://bugzilla.mozilla.org/show_bug.cgi?id=277564,Core
vuln19mzl,null,mfsa2005-14,previewer(spoofing/&undefined),Moderate,https://bugzilla.mozilla.org/show_bug.cgi?id=268483,Core
vuln20mzl,null,mfsa2005-14,previewer(spoofing/&undefined),Moderate,https://bugzilla.mozilla.org/show_bug.cgi?id=276720,Core
